Date,AXISBANK.NS,HDFCBANK.NS,ICICIBANK.NS,KOTAKBANK.NS,PNB.NS,SBIN.NS
2024-02-19,1061.2232666015625,689.682373046875,1026.91748046875,345.5025329589844,123.37543487548828,719.0675659179688
2024-02-20,1086.8316650390625,707.7870483398438,1031.8367919921875,351.7085876464844,124.38396453857422,719.87255859375
2024-02-21,1082.4388427734375,700.4137573242188,1034.985107421875,348.4359436035156,123.2793960571289,730.6692504882812
2024-02-22,1099.1116943359375,690.8748168945312,1045.5618896484375,344.175537109375,123.90371704101562,725.3656616210938
2024-02-23,1095.0184326171875,691.3857421875,1044.1845703125,344.0258483886719,122.89519500732422,718.8781127929688
2024-02-26,1083.4371337890625,692.213134765625,1037.1988525390625,340.4938049316406,119.91766357421875,718.7361450195312
2024-02-27,1077.2972412109375,691.1668090820312,1043.1021728515625,340.5836181640625,118.52494812011719,710.1650390625
2024-02-28,1072.455078125,685.9348754882812,1029.327880859375,335.9639892578125,115.97964477539062,703.2040405273438
2024-02-29,1073.353515625,683.0147094726562,1035.231201171875,337.1313781738281,117.03617858886719,708.5076293945312
2024-03-01,1097.4644775390625,696.3256225585938,1069.37158203125,344.76422119140625,119.91766357421875,728.443603515625
2024-03-04,1104.9521484375,697.2745971679688,1074.733642578125,344.6644287109375,121.07025909423828,731.1901245117188
2024-03-05,1099.011962890625,701.2411499023438,1070.503173828125,342.3695983886719,124.5760498046875,742.4603881835938
2024-03-06,1123.172607421875,702.0928344726562,1079.4071044921875,351.1598205566406,125.20038604736328,742.4129638671875
2024-03-07,1109.64453125,703.7962646484375,1070.4046630859375,348.8250427246094,124.72014617919922,746.3433227539062
2024-03-11,1103.304931640625,694.889892578125,1061.3037109375,345.1533203125,123.80765533447266,732.7528076171875
2024-03-12,1095.218017578125,710.3421630859375,1059.483642578125,343.2974853515625,120.97420501708984,719.4937744140625
2024-03-13,1078.64501953125,710.755859375,1066.4691162109375,345.13336181640625,114.10667419433594,707.70263671875
2024-03-14,1056.531005859375,708.3467407226562,1066.124755859375,347.6976013183594,115.88359069824219,701.830810546875
2024-03-15,1044.7001953125,706.9840698242188,1062.92724609375,346.87945556640625,113.09815979003906,693.1650390625
2024-03-18,1059.6258544921875,703.7719116210938,1063.7635498046875,346.79962158203125,115.25926971435547,692.2653198242188
2024-03-19,1049.0931396484375,705.3779907226562,1066.4691162109375,349.1443176269531,111.94556427001953,685.4937133789062
2024-03-20,1033.069091796875,696.4716796875,1067.0103759765625,352.2872619628906,112.04161071777344,697.2848510742188
2024-03-21,1033.917724609375,703.6258544921875,1064.3538818359375,353.6342468261719,116.26778411865234,704.9087524414062
2024-03-22,1031.62158203125,702.2145385742188,1072.716796875,354.4823303222656,117.90062713623047,707.1818237304688
2024-03-26,1038.8597412109375,693.7218627929688,1066.22314453125,349.9525146484375,119.05321502685547,700.8837280273438
2024-03-27,1051.1397705078125,701.1680908203125,1066.2724609375,354.32269287109375,117.90062713623047,694.490966796875
